*******************************************************************************
Ephemeris / WWW_USER Fri May 19 11:14:11 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-26 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Oct-03 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.500000000, A.D. 2021-Dec-26 00:00:00.0000, -1.051333077477786E+07,  1.347734421107863E+08,  5.836535092922118E+07, -3.021183453495419E+01,  2.371606093261613E-01, -8.850515906831684E-01,
2459575.500000000, A.D. 2021-Dec-27 00:00:00.0000, -1.313012522602854E+07,  1.347285229533830E+08,  5.828040823642173E+07, -3.030546460857769E+01, -1.085459368307528E+00, -1.085094451990985E+00,
2459576.500000000, A.D. 2021-Dec-28 00:00:00.0000, -1.574719525636195E+07,  1.345992351379047E+08,  5.817768897191274E+07, -3.026905131536859E+01, -1.873887730299376E+00, -1.292849297172546E+00,
2459577.500000000, A.D. 2021-Dec-29 00:00:00.0000, -1.835998674174140E+07,  1.344084442107739E+08,  5.805700522961260E+07, -3.020945213814074E+01, -2.532423245957700E+00, -1.500749301926031E+00,
2459578.500000000, A.D. 2021-Dec-30 00:00:00.0000, -2.096700115052224E+07,  1.341631994755359E+08,  5.791837716566955E+07, -3.013639216289328E+01, -3.137936335952732E+00, -1.708137694102226E+00,
2459579.500000000, A.D. 2021-Dec-31 00:00:00.0000, -2.356724197803053E+07,  1.338670995508590E+08,  5.776185903115946E+07, -3.005286444119568E+01, -3.712181592091381E+00, -1.914850071032510E+00,
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, -2.615984851196368E+07,  1.335223139522684E+08,  5.758751453730582E+07, -2.995975093137239E+01, -4.266192041592287E+00, -2.120769854460939E+00,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000, -2.874401057160467E+07,  1.331303152111170E+08,  5.739541480422528E+07, -2.985741585157577E+01, -4.805806672207853E+00, -2.325847860710133E+00,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000, -3.131893964254404E+07,  1.326921875391595E+08,  5.718563442639565E+07, -2.974603614696375E+01, -5.334429920973298E+00, -2.530036216239344E+00,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000, -3.388385885501869E+07,  1.322087820422530E+08,  5.695825240862098E+07, -2.962571164371331E+01, -5.854186624322224E+00, -2.733284654227924E+00,
