*******************************************************************************
Ephemeris / WWW_USER Mon Sep 26 22:38:00 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: L2 (392)                        {source: L2_de431}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -2.646138583089897E+07,  1.341486117414069E+08,  5.815394772736034E+07, -3.009737538170751E+01, -5.019196732333083E+00, -2.175707516650773E+00,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -2.905754656515698E+07,  1.336941011118518E+08,  5.795692715537716E+07, -2.999737502761019E+01, -5.501611748495924E+00, -2.384836437550867E+00,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -3.164466353499541E+07,  1.331979821571534E+08,  5.774186919968230E+07, -2.988803640420317E+01, -5.982326443221595E+00, -2.593228291494140E+00,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -3.422193142060305E+07,  1.326604085815116E+08,  5.750884048916099E+07, -2.976939493144579E+01, -6.461183653676822E+00, -2.800814947370973E+00,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -3.678854810630702E+07,  1.320815476399112E+08,  5.725791352702352E+07, -2.964148935467238E+01, -6.938026878252328E+00, -3.007528561374270E+00,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -3.934371496724626E+07,  1.314615800780167E+08,  5.698916666469367E+07, -2.950436172929732E+01, -7.412700345038522E+00, -3.213301606628138E+00,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -4.188663715466008E+07,  1.308007000662274E+08,  5.670268407317738E+07, -2.935805740463804E+01, -7.885049078560637E+00, -3.418066901912753E+00,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -4.441652387972193E+07,  1.300991151280554E+08,  5.639855571199137E+07, -2.920262500631202E+01, -8.354918964517770E+00, -3.621757639451310E+00,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -4.693258869580482E+07,  1.293570460629764E+08,  5.607687729572015E+07, -2.903811641666040E+01, -8.822156812817642E+00, -3.824307411973736E+00,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -4.943404977891193E+07,  1.285747268639063E+08,  5.573775025826354E+07, -2.886458675312328E+01, -9.286610419340876E+00, -4.025650239272225E+00,
