*******************************************************************************
Ephemeris / WWW_USER Wed May  2 21:31:34 2018 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: jwst_2_out}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}
Output units    : KM-S
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.463362458679666E+07,  1.341028329426619E+08,  5.833600571603328E+07, -3.035471553309470E+01, -4.773283177053397E+00, -1.995514303412096E+00,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -2.725253071671449E+07,  1.336693538631583E+08,  5.815426802790850E+07, -3.026692987109749E+01, -5.261386614206794E+00, -2.210944095943301E+00,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000, -2.986342607965556E+07,  1.331937534667445E+08,  5.795391387834810E+07, -3.016881988249498E+01, -5.747788434152080E+00, -2.426742275332250E+00,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000, -3.246545649546906E+07,  1.326761505121852E+08,  5.773497848559891E+07, -3.006156653814099E+01, -6.233580611271032E+00, -2.641178422868333E+00,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000, -3.505776739888003E+07,  1.321166788004174E+08,  5.749750380753163E+07, -2.994412733201284E+01, -6.717254126445833E+00, -2.855049177958462E+00,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000, -3.763950529826874E+07,  1.315154876980395E+08,  5.724153891070105E+07, -2.981676939890870E+01, -7.198646502280234E+00, -3.069275965572529E+00,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000, -4.020981626492608E+07,  1.308727415453121E+08,  5.696713962595682E+07, -2.967923840102016E+01, -7.679008227940111E+00, -3.282383793016212E+00,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000, -4.276784755928794E+07,  1.301886220342001E+08,  5.667436998746541E+07, -2.953240011106631E+01, -8.156671783406731E+00, -3.494249663112416E+00,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000, -4.531274780787220E+07,  1.294633269071910E+08,  5.636330178683514E+07, -2.937557416799748E+01, -8.631639163780951E+00, -3.705919054107129E+00,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000, -4.784367086033744E+07,  1.286970693206047E+08,  5.603401490929096E+07, -2.920849815416486E+01, -9.104963689750702E+00, -3.916575965873516E+00,
